Version:,,,,,,
TriggerVersion:,v4,,,,,
0,0.01476574,-7.07,-4.8,301.8579,0,0
0,0.03289342,-7.07,-4.8,301.8579,0,0
0,0.03729658,-7.07,-4.8,301.8579,0,0
0,0.01383945,-7.07,-4.8,301.8579,0,0
0,0.0322499,-7.07,-4.8,301.8579,0,0
0,0.03774557,-7.07,-4.8,301.8579,0,0
0,0.03232315,-7.07,-4.8,301.8579,0,0
0,0.01365341,-7.07,-4.8,301.8579,0,0
0,0.03498185,-7.07,-4.8,301.8579,0,0
0,0.03662135,-7.07,-4.8,301.8579,0,0
0,0.0124957,-7.07,-4.8,301.8579,0,0
0,0.03219968,-7.07,-4.8,301.8579,0,0
0,0.03791153,-7.07,-4.8,301.8579,0,0
0,0.01393265,-7.07,-4.8,301.8579,0,0
0,0.03157775,-7.07,-4.8,301.8579,0,0
0,0.03773667,-7.07,-4.8,301.8579,0,0
0,0.03189887,-7.07,-4.8,301.8579,0,0
0,0.01477128,-7.07,-4.8,301.8579,0,0
0,0.03283564,-7.07,-4.8,301.8579,0,0
0,0.03971347,-7.07,-4.8,301.8579,0,0
0,0.01172397,-7.07,-4.8,301.8579,0,0
0,0.02299407,-7.07,-4.8,301.8579,0,0
0,0.01334515,-7.07,-4.8,301.8579,0,0
0,0.03158652,-7.07,-4.8,301.8579,0,0
0,0.03318414,-7.07,-4.8,301.8579,0,0
0,0.01452388,-7.07,-4.8,301.8579,0,0
0,0.03451987,-7.07,-4.8,301.8579,0,0
0,0.03658877,-7.07,-4.8,301.8579,0,0
0,0.01288274,-7.07,-4.8,301.8579,0,0
0,0.03191563,-7.07,-4.8,301.8579,0,0
0,0.03806192,-7.07,-4.8,301.8579,0,0
0,0.0312859,-7.07,-4.8,301.8579,0,0
0,0.03363052,-7.07,-4.8,301.8579,0,0
0,0.03279946,-7.07,-4.8,301.8579,0,0
0,0.03436824,-7.07,-4.8,301.8579,0,0
0,0.03305369,-7.07,-4.8,301.8579,0,0
0,0.03506845,-7.07,-4.8,301.8579,0,0
0,0.03358704,-7.07,-4.8,301.8579,0,0
0,0.00424688,-7.07,-4.8,301.8579,0,0
0,0.00396664,-7.07,-4.8,301.8579,0,0
0,0.00406351,-7.07,-4.8,301.8579,0,0
0,0.00501732,-7.07,-4.8,301.8579,0,0
0,0.01579108,-7.07,-4.8,301.8579,0,0
0,0.03134143,-7.07,-4.8,301.8579,0,0
0,0.01655815,-7.07,-4.8,301.8579,0,0
0,0.03108223,-7.07,-4.8,301.8579,0,0
0,0.04019687,-7.07,-4.8,301.8579,0,0
0,0.04476799,-7.07,-4.8,301.8579,0,0
