Version: Taxi Continuous/Discontinuous v4.1.8942.21304
TriggerVersion: v4
TaskType: Continuous
MazeName: Open Maze MD2
NumberOfTrials: 120
PosterLocations: 
CompletionWindow: 100000
TimeoutDuration: 1000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 102.8615
MovementSpeed: 7.501485
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: False
ResetPositionOnTrial: False
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01675796 0.9329 5.3572 34.2724
 0 0.01660599 0.9329 5.3572 32.5643
 0 0.01669225 0.9329 5.3572 30.8473
 0 0.01668849 0.9329 5.3572 29.1307
 0 0.01684264 0.9329 5.3572 27.3983
 0 0.01685452 0.9329 5.3572 27.3983
 0 0.01621817 0.9329 5.3572 27.3983
 0 0.01689756 0.8746 5.2447 27.3983
 0 0.01667724 0.8170 5.1336 27.3983
 0 0.01651984 0.7600 5.0236 27.3983
 0 0.01682414 0.7019 4.9115 27.3983
 0 0.01673860 0.7019 4.9115 27.3983
 0 0.01644431 0.7019 4.9115 27.3983
 0 0.01663572 0.7019 4.9115 27.3983
 0 0.01643715 0.7019 4.9115 27.3983
 0 0.01695183 0.7019 4.9115 27.3983
 0 0.01650374 0.7019 4.9115 27.3983
 0 0.01692925 0.7019 4.9115 27.3983
 0 0.01650727 0.7019 4.9115 27.3983
 0 0.01656903 0.7019 4.9115 27.3983
 0 0.01684664 0.7019 4.9115 27.3983
 0 0.01668146 0.7019 4.9115 27.3983
 0 0.01686238 0.7019 4.9115 27.3983
 0 0.01732537 0.7019 4.9115 27.3983
 0 0.01587345 0.7019 4.9115 27.3983
 34 0.01681417 0.7019 4.9115 27.3983
 0 0.01633227 0.7019 4.9115 27.3983
 0 0.01694435 0.7019 4.9115 27.3983
 0 0.01683802 0.7019 4.9115 27.3983
 0 0.01638607 0.7019 4.9115 27.3983
 0 0.01654951 0.7019 4.9115 27.3983
 0 0.01698953 0.7019 4.9115 27.3983
 0 0.01643435 0.7019 4.9115 27.3983
 0 0.01693730 0.7019 4.9115 27.3983
 0 0.01632966 0.7019 4.9115 27.3983
 16 0.01685747 0.7019 4.9115 27.3983
 0 0.01693524 0.7019 4.9115 27.3983
 0 0.01656813 0.7019 4.9115 27.3983
 0 0.01659713 0.7019 4.9115 27.3983
 0 0.01670273 0.7019 4.9115 27.3983
 0 0.01673666 0.7019 4.9115 27.3983
 0 0.01666857 0.7019 4.9115 27.3983
 0 0.01654672 0.7019 4.9115 27.3983
 0 0.01677614 0.7019 4.9115 27.3983
 0 0.01651940 0.7019 4.9115 27.3983
 0 0.01673207 0.7019 4.9115 27.3983
 0 0.01673132 0.7019 4.9115 27.3983
 0 0.01670886 0.7019 4.9115 27.3983
 0 0.01677891 0.7019 4.9115 27.3983
 0 0.01652462 0.7019 4.9115 27.3983
 0 0.01665729 0.7019 4.9115 27.3983
 0 0.01671562 0.7019 4.9115 27.3983
 0 0.01671207 0.7019 4.9115 27.3983
 0 0.01669695 0.7019 4.9115 27.3983
 0 0.01670652 0.7019 4.9115 27.3983
 0 0.01659686 0.7019 4.9115 27.3983
 0 0.01652422 0.7019 4.9115 27.3983
