Version:,Taxi,Continuous/Discontinuous,v4.1.8941.20741,
0,0.01640021,1.8623,7.1561,3.4755
0,0.0166302,1.8623,7.1561,1.7314
0,0.01700077,1.8623,7.1561,359.9484
0,0.01638041,1.8623,7.1561,358.2305
0,0.01678362,1.8623,7.1561,356.4702
0,0.01671389,1.8623,7.1561,354.7173
0,0.01671774,1.8623,7.1561,352.964
0,0.01676155,1.8623,7.1561,351.2061
0,0.01660206,1.8623,7.1561,349.4649
0,0.0165187,1.8623,7.1561,347.7325
0,0.01689075,1.8623,7.1561,345.961
0,0.01671631,1.8623,7.1561,344.2079
0,0.01647587,1.8623,7.1561,342.4799
0,0.01673628,1.8623,7.1561,340.7246
0,0.01672303,1.8623,7.1561,338.9708
0,0.01706523,1.8623,7.1561,337.181
0,0.01628144,1.8623,7.1561,335.4735
0,0.01661962,1.8623,7.1561,333.7304
0,0.01688053,1.8623,7.1561,331.9601
0,0.01707003,1.8623,7.1561,330.1698
0,0.01636201,1.8623,7.1561,328.4538
0,0.016237,1.8623,7.1561,326.7509
0,0.01733131,1.8623,7.1561,324.9332
0,0.01640011,1.8623,7.1561,323.2132
0,0.01679002,1.8623,7.1561,321.4523
0,0.01645753,1.8623,7.1561,319.7263
0,0.0167639,1.8623,7.1561,317.9682
0,0.01668601,1.8623,7.1561,316.2182
0,0.01659647,1.8623,7.1561,314.4776
0,0.0166499,1.8623,7.1561,312.7314
0,0.01694223,1.8623,7.1561,310.9545
0,0.0166117,1.8623,7.1561,309.2123
0,0.01671511,1.8623,7.1561,307.4593
0,0.01678669,1.8623,7.1561,305.6987
0,0.01659113,1.8623,7.1561,303.9587
0,0.01662744,1.8623,7.1561,302.2149
0,0.01657593,1.8623,7.1561,300.4764
0,0.01663483,1.8623,7.1561,298.7318
0,0.01677209,1.8623,7.1561,296.9728
0,0.0165487,1.8623,7.1561,295.2372
0,0.01695782,1.8623,7.1561,293.4587
0,0.0165883,1.8623,7.1561,291.719
0,0.01652778,1.8623,7.1561,289.9856
0,0.01678871,1.8623,7.1561,288.2248
0,0.01663801,1.8623,7.1561,286.4799
0,0.01710754,1.8623,7.1561,284.6857
0,0.01643239,1.8623,7.1561,282.9623
0,0.01639911,1.8623,7.1561,281.2424
0,0.01671463,1.8623,7.1561,279.4894
0,0.01702024,1.8623,7.1561,277.7043
0,0.01646589,1.8623,7.1561,275.9774
0,0.01660174,1.8623,7.1561,274.2363
0,0.01670244,1.8623,7.1561,272.4846
0,0.01672924,1.8623,7.1561,270.7301
0,0.01671396,1.8623,7.1561,268.9772
0,0.01688353,1.8623,7.1561,267.2065
0,0.01641047,1.8623,7.1561,265.4854
0,0.01666321,1.8623,7.1561,263.7378
0,0.01670875,1.8623,7.1561,261.9854
0,0.01690636,1.8623,7.1561,260.2123
0,0.01620205,1.8623,7.1561,258.5131
0,0.01691357,1.8623,7.1561,256.7392
0,0.01668893,1.8623,7.1561,254.9889
0,0.01688296,1.8623,7.1561,253.2183
0,0.01645304,1.8623,7.1561,251.4928
0,0.01685746,1.8623,7.1561,249.7248
0,0.01652342,1.8623,7.1561,247.9919
0,0.01666597,1.8623,7.1561,246.244
0,0.01661276,1.8623,7.1561,244.5017
0,0.01702953,1.8623,7.1561,242.7157
0,0.01658065,1.8623,7.1561,242.7157
0,0.01637286,1.8623,7.1561,242.7157
0,0.01676192,1.7878,7.1177,242.7157
0,0.01669275,1.7137,7.0794,242.7157
0,0.01674777,1.6392,7.041,242.7157
0,0.01662175,1.5654,7.0029,242.7157
0,0.01667803,1.4913,6.9647,242.7157
0,0.0167969,1.4166,6.9262,242.7157
0,0.01650228,1.3433,6.8884,242.7157
0,0.01659074,1.2696,6.8504,242.7157
0,0.01694087,1.1943,6.8115,242.7157
0,0.0165653,1.1207,6.7736,242.7157
0,0.0167961,1.046,6.7351,242.7157
0,0.01669001,0.9719,6.6968,242.7157
0,0.01633387,0.8993,6.6594,242.7157
0,0.01713314,0.8232,6.6201,242.7157
0,0.01654971,0.7496,6.5822,242.7157
0,0.01659411,0.6759,6.5441,242.7157
0,0.01670383,0.6017,6.5059,242.7157
0,0.01662191,0.5278,6.4678,242.7157
0,0.01678438,0.4532,6.4293,242.7157
0,0.01653619,0.3797,6.3914,242.7157
0,0.01675906,0.3052,6.353,242.7157
0,0.01660618,0.2315,6.3149,242.7157
0,0.01679863,0.1568,6.2764,242.7157
0,0.01650363,0.0835,6.2386,242.7157
0,0.01680007,0.0088,6.2001,242.7157
0,0.01679755,-0.0658,6.1616,242.7157
0,0.016595,-0.1396,6.1235,242.7157
0,0.0167011,-0.2138,6.0853,242.7157
0,0.01656318,-0.2874,6.0473,242.7157
0,0.01674319,-0.3618,6.0089,242.7157
0,0.01715486,-0.438,5.9696,242.7157
0,0.01638072,-0.5108,5.9321,242.7157
0,0.01665532,-0.5848,5.8939,242.7157
0,0.0165032,-0.6582,5.8561,242.7157
0,0.01671684,-0.7324,5.8177,242.7157
0,0.01689966,-0.8075,5.779,242.7157
0,0.01650685,-0.8809,5.7412,242.7157
0,0.01667462,-0.955,5.703,242.7157
0,0.01660899,-1.0288,5.6649,242.7157
0,0.01649495,-1.1021,5.6271,242.7157
0,0.01675251,-1.1765,5.5887,242.7157
0,0.0171788,-1.2529,5.5493,242.7157
0,0.01638081,-1.3257,5.5118,242.7157
0,0.01659276,-1.3994,5.4737,242.7157
0,0.01679267,-1.474,5.4352,242.7157
0,0.01680037,-1.5487,5.3967,242.7157
0,0.01663352,-1.6226,5.3586,242.7157
0,0.01654173,-1.6961,5.3207,242.7157
0,0.01680972,-1.7708,5.2822,242.7157
0,0.01651433,-1.8442,5.2443,242.7157
0,0.01673769,-1.9186,5.206,242.7157
0,0.01701776,-1.9929,5.1646,240.9309
0,0.01633958,-2.0631,5.1228,239.2172
0,0.01661184,-2.1332,5.0781,237.475
0,0.01659191,-2.2017,5.0314,235.7349
0,0.01673682,-2.2694,4.9822,233.9796
0,0.01668764,-2.3354,4.9311,232.2294
0,0.01677774,-2.4017,4.8797,232.2294
0,0.01671844,-2.4677,4.8285,232.2294
0,0.01667949,-2.5337,4.7775,232.2294
0,0.0168138,-2.6001,4.726,232.2294
0,0.01641309,-2.665,4.6757,232.2294
0,0.01669254,-2.731,4.6246,232.2294
0,0.01678168,-2.7973,4.5732,232.2294
0,0.01669398,-2.8633,4.5221,232.2294
0,0.01654191,-2.9287,4.4714,232.2294
0,0.01674969,-2.9949,4.4201,232.2294
0,0.01670968,-3.0609,4.3689,232.2294
0,0.01660549,-3.1265,4.3181,232.2294
0,0.01681225,-3.193,4.2666,232.2294
0,0.01606149,-3.2565,4.2174,232.2294
0,0.0172436,-3.3246,4.1646,232.2294
0,0.01670165,-3.3906,4.1134,232.2294
0,0.01667834,-3.4565,4.0624,232.2294
0,0.01668308,-3.5225,4.0113,232.2294
0,0.01661492,-3.5881,3.9604,232.2294
0,0.01680385,-3.6546,3.9089,232.2294
0,0.01639893,-3.7194,3.8587,232.2294
0,0.01669988,-3.7854,3.8076,232.2294
0,0.01683861,-3.8519,3.756,232.2294
0,0.01665657,-3.9178,3.705,232.2294
0,0.01670497,-3.9838,3.6538,232.2294
0,0.01686237,-4.052,3.6043,233.9979
0,0.01649205,-4.1201,3.5578,235.7275
0,0.01655341,-4.1899,3.5133,237.4636
0,0.01679134,-4.262,3.4704,239.2247
0,0.01670193,-4.3351,3.4298,240.9763
0,0.01673866,-4.4095,3.3915,242.7318
0,0.01666269,-4.4846,3.3556,244.4794
0,0.01660085,-4.5606,3.3221,246.2204
0,0.01659439,-4.6375,3.291,247.9608
0,0.01676234,-4.7161,3.2619,249.7188
0,0.01704588,-4.7961,3.2324,249.7188
0,0.01642668,-4.8731,3.2039,249.7188
0,0.01657543,-4.9509,3.1752,249.7188
0,0.01669178,-5.0291,3.1463,249.7188
0,0.01669619,-5.1074,3.1173,249.7188
0,0.01670592,-5.1858,3.0884,249.7188
0,0.0166064,-5.2637,3.0596,249.7188
0,0.01668741,-5.3419,3.0307,249.7188
0,0.01673131,-5.4204,3.0017,249.7188
0,0.01657854,-5.4982,2.9729,249.7188
0,0.0166987,-5.5765,2.944,249.7188
0,0.01684052,-5.6555,2.9148,249.7188
0,0.01675847,-5.7341,2.8858,249.7188
0,0.01652141,-5.8115,2.8571,249.7188
0,0.01680997,-5.8904,2.828,249.7188
0,0.01656619,-5.9681,2.7993,249.7188
0,0.01670191,-6.0464,2.7703,249.7188
0,0.01637414,-6.1232,2.742,249.7188
0,0.01672355,-6.2016,2.713,249.7188
0,0.01690552,-6.2809,2.6837,249.7188
0,0.01669246,-6.3592,2.6548,249.7188
0,0.01660337,-6.4371,2.626,249.7188
0,0.01670462,-6.5154,2.597,249.7188
0,0.01679316,-6.5942,2.5679,249.7188
0,0.01676782,-6.6719,2.5365,247.9602
0,0.01643074,-6.7471,2.5034,246.237
0,0.01659326,-6.822,2.4676,244.4967
0,0.01681855,-6.8967,2.4291,242.7329
0,0.01660164,-6.9693,2.3889,240.9917
0,0.01678686,-7.0414,2.3459,239.2312
0,0.01670375,-7.1119,2.301,237.4793
0,0.01655453,-7.1803,2.2544,235.7431
0,0.01706783,-7.2508,2.2064,235.7431
0,0.01626879,-7.318,2.1606,235.7431
0,0.01690382,-7.3879,2.113,235.7431
0,0.01660773,-7.4565,2.0663,235.7431
0,0.01679622,-7.5259,2.019,235.7431
0,0.01661192,-7.5946,1.9723,235.7431
0,0.01658323,-7.6631,1.9256,235.7431
0,0.01680012,-7.7326,1.8783,235.7431
0,0.01679398,-7.802,1.831,235.7431
0,0.01710624,-7.8727,1.7829,235.7431
0,0.01648178,-7.9408,1.7365,235.7431
0,0.01673794,-8.0099,1.6894,235.7431
0,0.01660207,-8.0785,1.6427,235.7431
0,0.01659366,-8.1471,1.596,235.7431
0,0.01678472,-8.2165,1.5487,235.7431
0,0.01660976,-8.2851,1.502,235.7431
0,0.01630367,-8.3525,1.4561,235.7431
0,0.01659186,-8.4211,1.4094,235.7431
0,0.0167583,-8.4903,1.3622,235.7431
0,0.01631477,-8.5577,1.3163,235.7431
0,0.01689721,-8.6276,1.2687,235.7431
0,0.01669607,-8.6966,1.2217,235.7431
0,0.01683067,-8.7661,1.1744,235.7431
0,0.01647987,-8.8342,1.128,235.7431
0,0.01682401,-8.9038,1.0806,235.7431
0,0.0165975,-8.9724,1.0339,235.7431
0,0.01680345,-9.0418,0.9866,235.7431
0,0.01672368,-9.1109,0.9396,235.7431
0,0.01668664,-9.1799,0.8926,235.7431
