Version:,Taxi,Continuous/Discontinuous,v4.1.8942.21304,,,
0,0.01649143,-7.454,-1.3536,349.6979,0,0
0,0.01672206,-7.4615,-1.3124,349.6979,0,0
0,0.01668828,-7.469,-1.2714,349.6979,0,0
0,0.01661909,-7.4764,-1.2305,349.6979,0,0
0,0.01655144,-7.4838,-1.1898,349.6979,0,0
0,0.01671509,-7.4913,-1.1487,349.6979,0,0
0,0.01670322,-7.4987,-1.1076,349.6979,0,0
0,0.01682171,-7.5063,-1.0663,349.6979,0,0
0,0.01642481,-7.5136,-1.0259,349.6979,0,0
0,0.01672588,-7.5211,-0.9847,349.6979,0,0
0,0.01655634,-7.5285,-0.944,349.6979,0,0
0,0.01687423,-7.536,-0.9025,349.6979,0,0
0,0.01670022,-7.5435,-0.8614,349.6979,0,0
0,0.01682861,-7.551,-0.8201,349.6979,0,0
0,0.01629726,-7.5583,-0.78,349.6979,0,0
0,0.016833,-7.5658,-0.7386,349.6979,0,0
0,0.01673789,-7.5733,-0.6974,349.6979,0,0
0,0.01673027,-7.5808,-0.6563,349.6979,0,0
0,0.01677827,-7.5883,-0.615,349.6979,0,0
0,0.0165896,-7.5957,-0.5742,349.6979,0,0
0,0.01658543,-7.6031,-0.5334,349.6979,0,0
0,0.01673966,-7.6106,-0.4923,349.6979,0,0
0,0.01649972,-7.618,-0.4517,349.6979,0,0
0,0.01687707,-7.6255,-0.4102,349.6979,0,0
0,0.0167226,-7.633,-0.369,349.6979,0,0
0,0.0166884,-7.6405,-0.328,349.6979,0,0
0,0.01669933,-7.6479,-0.2869,349.6979,0,0
0,0.01660244,-7.6553,-0.2461,349.6979,0,0
0,0.01678856,-7.6629,-0.2048,349.6979,0,0
0,0.016614,-7.6703,-0.164,349.6979,0,0
0,0.01671886,-7.6778,-0.1228,349.6979,0,0
0,0.01660619,-7.6852,-0.082,349.6979,0,0
0,0.01675029,-7.6927,-0.0408,349.6979,0,0
0,0.01673788,-7.7001,0.0004,349.6979,0,0
0,0.01676784,-7.7076,0.0416,349.6979,0,0
0,0.01650047,-7.715,0.0822,349.6979,0,0
0,0.01671521,-7.7225,0.1233,349.6979,0,0
0,0.01660689,-7.7299,0.1641,349.6979,0,0
0,0.01653363,-7.7373,0.2048,349.6979,0,0
0,0.01684703,-7.7448,0.2462,349.6979,0,0
0,0.01659673,-7.7523,0.287,349.6979,0,0
0,0.01683312,-7.7598,0.3284,349.6979,0,0
0,0.01656843,-7.7672,0.3692,349.6979,0,0
0,0.01677774,-7.7747,0.4105,349.6979,0,0
0,0.01664347,-7.7821,0.4514,349.6979,0,0
0,0.01659416,-7.7895,0.4922,349.6979,0,0
0,0.01666987,-7.797,0.5332,349.6979,0,0
0,0.01671676,-7.8045,0.5743,349.6979,0,0
0,0.01651069,-7.8118,0.6149,349.6979,0,0
0,0.0167805,-7.8194,0.6562,349.6979,0,0
0,0.01669913,-7.8268,0.6972,349.6979,0,0
0,0.01668954,-7.8343,0.7383,349.6979,0,0
0,0.01655251,-7.8417,0.779,349.6979,0,0
0,0.01698522,-7.8493,0.8208,349.6979,0,0
0,0.01640601,-7.8566,0.8611,349.6979,0,0
0,0.01669797,-7.8641,0.9022,349.6979,0,0
0,0.01677418,-7.8716,0.9434,349.6979,0,0
0,0.01652588,-7.879,0.9841,349.6979,0,0
0,0.01703647,-7.8866,1.026,349.6979,0,0
0,0.01649138,-7.8939,1.0665,349.6979,0,0
0,0.01697634,-7.9015,1.1083,349.6979,0,0
0,0.01649138,-7.9089,1.1488,349.6979,0,0
0,0.01670974,-7.9164,1.1899,349.6979,0,0
0,0.0166775,-7.9238,1.231,349.6979,0,0
0,0.01650133,-7.9312,1.2715,349.6979,0,0
0,0.01664245,-7.9386,1.3125,349.6979,0,0
0,0.0168868,-7.9462,1.354,349.6979,0,0
0,0.01665745,-7.9536,1.395,349.6979,0,0
