Version: Taxi Continuous/Discontinuous v4.1.8942.21304
TriggerVersion: v4
TaskType: Discontinuous
MazeName: Open Maze MD2
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 100000
TimeoutDuration: 1000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.3357
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: False
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01668798 -7.0700 -4.8000 0.0000
 0 0.01687240 -7.0700 -4.8000 0.0000
 0 0.01663943 -7.0700 -4.8000 0.0000
 0 0.01649696 -7.0700 -4.8000 0.0000
 0 0.01678577 -7.0700 -4.8000 0.0000
 0 0.01659864 -7.0700 -4.8000 0.0000
 0 0.01664689 -7.0700 -4.8000 0.0000
 0 0.01653459 -7.0700 -4.8000 0.0000
 0 0.01686852 -7.0700 -4.8000 0.0000
 0 0.01676544 -7.0700 -4.8000 0.0000
 0 0.01656638 -7.0700 -4.8000 0.0000
 0 0.01667395 -7.0700 -4.8000 0.0000
 0 0.01668897 -7.0700 -4.8000 0.0000
 0 0.01671732 -7.0700 -4.8000 0.0000
 0 0.01650711 -7.0700 -4.8000 0.0000
 0 0.01703466 -7.0700 -4.8000 0.0000
 0 0.01641005 -7.0700 -4.8000 0.0000
 0 0.01680005 -7.0700 -4.8000 0.0000
 0 0.01663155 -7.0700 -4.8000 0.0000
 0 0.01671558 -7.0700 -4.8000 0.0000
 0 0.01657443 -7.0700 -4.8000 0.0000
 0 0.01695947 -7.0700 -4.8000 0.0000
 0 0.01646977 -7.0700 -4.8000 0.0000
 0 0.01700106 -7.0700 -3.8200 0.0000
 0 0.01666587 -7.0700 -3.7367 0.0000
 0 0.01677425 -7.0700 -3.6528 0.0000
 0 0.01632246 -7.0700 -3.5712 0.0000
 0 0.01676561 -7.0700 -3.4874 0.0000
 0 0.01681987 -7.0700 -3.4033 0.0000
 0 0.01658657 -7.0700 -3.3204 0.0000
 0 0.01662480 -7.0700 -3.2372 0.0000
 0 0.01691387 -7.0700 -3.1527 0.0000
 0 0.01652830 -7.0700 -3.1527 0.0000
 0 0.01604140 -7.0700 -3.1527 0.0000
 0 0.01646545 -7.0700 -3.1527 0.0000
 0 0.01739157 -7.0700 -3.1527 0.0000
 0 0.01651061 -7.0700 -3.1527 0.0000
 0 0.01682850 -7.0700 -3.1527 0.0000
 0 0.01650783 -7.0700 -3.1527 0.0000
 0 0.01679437 -7.0700 -3.1527 0.0000
 0 0.01674843 -7.0700 -3.1527 0.0000
 0 0.01692437 -7.0700 -3.2373 0.0000
 0 0.01644577 -7.0700 -3.3195 0.0000
 0 0.01688609 -7.0700 -3.4040 0.0000
 0 0.01669176 -7.0700 -3.4874 0.0000
 0 0.01650609 -7.0700 -3.5699 0.0000
 0 0.01671855 -7.0700 -3.6535 0.0000
 0 0.01677033 -7.0700 -3.7374 0.0000
 0 0.01660950 -7.0700 -3.8204 0.0000
 0 0.01660061 -7.0700 -3.9034 0.0000
 0 0.01681428 -7.0700 -3.9050 0.0000
 0 0.01669590 -7.0700 -3.9050 0.0000
 0 0.01660660 -7.0700 -3.9050 0.0000
 0 0.01648672 -7.0700 -3.9050 0.0000
 0 0.01671862 -7.0700 -3.9050 0.0000
 0 0.01663876 -7.0700 -3.9050 0.0000
 0 0.01670319 -7.0700 -3.9050 0.0000
 0 0.01696734 -7.0700 -3.9050 0.0000
 0 0.01677953 -7.0700 -3.9050 0.0000
 0 0.01630223 -7.0700 -3.9050 0.0000
 0 0.01659380 -7.0700 -3.9050 0.0000
 0 0.01666778 -7.0700 -3.9050 0.0000
 0 0.01680204 -7.0700 -3.9050 0.0000
 0 0.01671876 -7.0700 -3.9050 0.0000
 0 0.01671023 -7.0700 -3.9050 0.0000
 0 0.01659116 -7.0700 -3.9050 0.0000
 0 0.01671136 -7.0700 -3.9050 0.0000
 0 0.01682923 -7.0700 -3.9050 0.0000
 0 0.01665410 -7.0700 -3.9050 0.0000
 0 0.01641186 -7.0700 -3.9050 0.0000
 0 0.01714006 -7.0700 -3.9050 0.0000
 0 0.01632072 -7.0700 -3.9050 0.0000
 0 0.01659005 -7.0700 -3.9050 0.0000
 0 0.01659987 -7.0700 -3.9050 0.0000
 0 0.01631323 -7.0700 -3.9050 0.0000
 0 0.01705844 -7.0700 -3.9050 0.0000
 0 0.01715927 -7.0700 -3.9050 0.0000
 0 0.01636821 -7.0700 -3.9050 0.0000
 0 0.01665298 -7.0700 -3.9050 0.0000
 0 0.01714479 -7.0700 -3.9050 1.7888
 0 0.01655918 -7.0700 -3.9050 3.5165
 0 0.01646495 -7.0700 -3.9050 5.2344
 0 0.01663710 -7.0700 -3.9050 6.9703
 0 0.01677971 -7.0700 -3.9050 8.7210
 0 0.01672435 -7.0700 -3.9050 10.4659
 0 0.01640177 -7.0700 -3.9050 12.1772
 0 0.01678793 -7.0700 -3.9050 13.9288
 0 0.01676445 -7.0700 -3.9050 15.6779
 0 0.01682892 -7.0700 -3.9050 17.4338
 0 0.01670481 -7.0700 -3.9050 19.1767
 0 0.01660636 -7.0700 -3.9050 20.9093
 0 0.01678667 -7.0700 -3.9050 22.6608
 0 0.01649513 -7.0700 -3.9050 24.3818
 0 0.01645308 -7.0700 -3.9050 26.0985
 0 0.01696537 -7.0700 -3.9050 27.8686
 0 0.01669754 -7.0700 -3.9050 29.6107
 0 0.01658384 -7.0700 -3.9050 31.3410
 0 0.01680304 -7.0700 -3.9050 33.0942
 0 0.01621101 -7.0700 -3.9050 34.7855
 0 0.01658071 -7.0700 -3.9050 36.5155
 0 0.01670253 -7.0700 -3.9050 38.2582
 0 0.01660125 -7.0700 -3.9050 39.9903
 0 0.01663633 -7.0700 -3.9050 41.7260
 0 0.01680962 -7.0700 -3.9050 43.4799
 0 0.01665363 -7.0700 -3.9050 45.2175
 0 0.01671240 -7.0700 -3.9050 46.9612
 0 0.01658957 -7.0700 -3.9050 48.6920
 0 0.01668268 -7.0700 -3.9050 50.4326
 0 0.01695258 -7.0700 -3.9050 52.2014
 0 0.01646594 -7.0700 -3.9050 53.9194
 0 0.01670920 -7.0700 -3.9050 55.6628
 0 0.01651263 -7.0700 -3.9050 57.3856
 0 0.01685662 -7.0700 -3.9050 59.1444
 0 0.01669629 -7.0700 -3.9050 60.8864
 0 0.01695499 -7.0700 -3.9050 62.6554
 0 0.01639677 -7.0700 -3.9050 64.3662
 0 0.01667414 -7.0700 -3.9050 66.1059
 0 0.01668787 -7.0700 -3.9050 67.8470
 0 0.01665619 -7.0700 -3.9050 69.5849
 0 0.01692054 -7.0700 -3.9050 71.3503
 0 0.01655159 -7.0700 -3.9050 73.0772
